system:index,date,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20220101,2022-01-01,100193.11435172403,300.20092075956404,0.0011842744571247312,-0.6545822021121204,-0.7623446944069727,0.2907026770997899,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102,2022-01-02,100031.62400788342,300.30728168283497,6.100531631198722E-5,-0.5909955803914373,-0.5240053703527293,0.2900763859125783,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103,2022-01-03,100069.42247920326,300.13774511839625,5.4683824612278795E-5,-0.5508423030971121,-0.5030047759111004,0.28581211070828694,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104,2022-01-04,100099.71062741587,300.0730261797515,1.4685024498947427E-5,-0.1537676977558139,0.0517845456453166,0.2814996338532598,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105,2022-01-05,100142.86467595359,299.5775841645201,2.496146764559219E-4,0.2696540684407112,-0.23039007960696795,0.2796613336942104,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106,2022-01-06,100054.15690004385,299.8516032478819,1.8233946728267501E-4,0.3777622569565993,0.06344563820024197,0.2766717121368676,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107,2022-01-07,100134.22143851095,300.03507321395904,1.7481205945834826E-4,0.5666641501770499,-0.017470394537589033,0.2753067719333087,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108,2022-01-08,100116.5195112351,299.90796853418686,3.801468065229512E-4,0.436749348604331,-0.07649134874544487,0.2741911815098093,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109,2022-01-09,100040.64555406394,299.7583227433871,9.053930586142972E-4,0.39491978326745447,0.18079306010601542,0.2758191177830386,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110,2022-01-10,100026.78334851182,299.9531883492409,3.364183293989758E-4,0.40198603876079275,-0.14620046527329253,0.2791906692242591,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111,2022-01-11,100037.12921821239,300.05711268174974,2.6016182287686952E-5,0.4461896595637922,-0.2506235261736674,0.27651210025549366,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112,2022-01-12,100048.06831699742,299.6459348916807,3.349566895997013E-5,0.5729721868420781,-0.705277626883283,0.27346881534463163,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113,2022-01-13,99989.96835885847,299.62111622044245,1.4514409572032468E-6,0.6972860408984264,-0.777791154515014,0.2706514908324814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220114,2022-01-14,99990.27369335019,299.61299257660187,2.626620632775292E-6,0.7033277269251748,-0.6088408193474766,0.26818800551456573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115,2022-01-15,99993.74992469471,300.157840859218,5.536367216879059E-5,0.7301360635978701,-0.44048932773990407,0.26637908079429573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220116,2022-01-16,100056.76081168208,300.8146376425808,2.3666106962444032E-5,0.20652425706150132,-0.08086349041591774,0.2648790647009414,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220117,2022-01-17,100201.7468161644,300.92700866541475,8.89951348090521E-5,-0.23896486241308199,-0.2272078621515016,0.2633983611143442,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118,2022-01-18,100045.49745711063,300.78862358879223,1.0447680924783403E-5,-0.21652444871461574,-0.28678611047366215,0.26254188855374455,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119,2022-01-19,100028.78458297883,300.0605394060988,1.3795275519223497E-4,0.34973674136323574,0.12593131930026488,0.26184645890186503,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120,2022-01-20,99979.49165367168,299.6607606995348,4.27614898783225E-5,0.5212740106556275,-0.09051093683748353,0.2612880467652043,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121,2022-01-21,100059.70398646216,299.6377926961866,4.5610194222018343E-4,0.5512198860763659,0.24963852269873912,0.2616596004111447,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220122,2022-01-22,99919.81160144278,299.6693059290985,2.476721910449814E-4,1.0236013689670505,-0.5938082269814631,0.26432797472871605,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123,2022-01-23,99935.89079398205,298.87628372610584,5.666485470724673E-5,1.1084364657075896,-1.1958406663654604,0.26352329852561246,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220124,2022-01-24,99876.10624029189,298.756865604005,2.114028554930397E-6,1.031969831789152,-1.0605899179364384,0.2621286020555208,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125,2022-01-25,99855.02846945575,298.94149819502604,2.531564390964191E-5,0.9372278448193819,-0.9347358904201287,0.2609477088433904,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126,2022-01-26,99928.52725922964,299.0117321064845,6.251642893592762E-4,0.5642720979485809,-0.5179596371713174,0.2619135660941189,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127,2022-01-27,99809.77329774792,299.95428797504866,0.0031529363553605295,0.5188943851680506,-0.11807038732726552,0.268674206770961,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220128,2022-01-28,99878.37135323933,300.0306175707453,1.8566078809138868E-4,-0.21922007511550246,-0.1222924539598368,0.29288629047399767,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220129,2022-01-29,99987.88094418886,300.93545502306023,6.509827190890389E-6,-0.3535555610147745,-0.19549042607660636,0.2856565046258839,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130,2022-01-30,99924.76470771915,301.36412318954535,1.4021684132966806E-5,0.11300208789537931,0.13959495997483348,0.2798022663296666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131,2022-01-31,99913.15312984816,300.880006805752,1.148049306141861E-4,0.41932347738222664,0.2654568783178511,0.2758012004219035,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,2022-02-01,99874.2413276813,300.781986370011,3.076028734701322E-4,0.44999835518120374,0.45907621811267096,0.2727828800198207,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202,2022-02-02,99992.44245424401,300.61294304193933,5.369674920863811E-4,0.7847388114245956,0.11114421286596134,0.2737928952917426,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220203,2022-02-03,100007.91032922332,299.85612764116644,7.906595991221093E-4,0.5829978590903482,-0.0854779615011306,0.2765844163735307,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204,2022-02-04,99880.33547909438,299.2032375952446,1.2934207802572928E-6,0.933749897174214,-1.1845763238781217,0.27396442815939076,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205,2022-02-05,99886.76360179351,299.32635843084614,4.4381148893359E-6,0.6753041062995294,-0.4211865153245621,0.27033882081501476,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206,2022-02-06,100158.16017738011,299.4078364917358,3.508296003417338E-4,0.56094629384245,-0.2939324099536928,0.2683599884513766,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207,2022-02-07,100130.96284865828,300.19359559000566,1.2618612484984634E-4,0.6827874729905311,-0.37040607160294725,0.26856925880440385,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208,2022-02-08,99994.67286048409,300.2069047026112,4.5402094896639486E-5,0.7998181503686586,-0.5231850426104481,0.26636293539420275,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209,2022-02-09,99959.07589383822,300.423333472394,7.907985388555643E-4,0.4237135467455929,0.16780539140175105,0.26556235991041316,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210,2022-02-10,99886.7110204943,300.183822846897,1.2266519787659615E-4,0.2896002906921292,0.17144017701596653,0.268438009763512,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211,2022-02-11,99857.30135956897,300.1995264929869,0.002222537972890123,-0.4625906955165521,-0.09463674057159083,0.2734748419839496,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212,2022-02-12,99868.66724181607,299.61455613452813,0.005980405487654832,-0.15731670770783854,0.43452216762378115,0.3053393139835161,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213,2022-02-13,99796.11546457562,300.20414728407013,0.0021920302865766814,0.3554749546722805,0.5541215054417676,0.3311826737114179,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214,2022-02-14,99794.44611186322,300.3574887115318,4.566419582722148E-4,0.44835570351781445,0.08272231116663421,0.3252310210057271,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215,2022-02-15,99825.91371743382,299.7576736746421,0.0015080354574688198,0.4955217079669758,0.46101933623867725,0.3202647398205701,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216,2022-02-16,99636.6541605272,300.01599166123594,6.657336787157784E-4,0.400521993149873,0.5972177928163822,0.31684174419008276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217,2022-02-17,99560.21574189643,300.2338771996611,0.0014050169419692047,0.2683201416250405,0.40417294938456266,0.3138734119588158,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218,2022-02-18,99719.94976343687,300.3664085935237,0.001337684578105426,0.5213341539274947,0.4148376891211487,0.31437629363129593,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219,2022-02-19,99863.18632663417,301.07278785127795,3.0040218265433343E-5,0.3357140405459793,0.20679471450924433,0.3077557614566415,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220220,2022-02-20,99890.412664803,301.0101243170542,6.601607804344464E-5,0.5497353000413886,0.009776408317814456,0.2981890916738362,"{""type"":""MultiPoint"",""coordinates"":[]}"
