system:index,date,dewpoint_temperature_2m,potential_evaporation_sum,runoff_sum,surface_pressure,surface_runoff_sum,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20160101,2016-01-01,290.3371543411968,-0.018913263598107025,0.0013559276833888473,100272.57281289445,0.0,2.1148568095924996E7,298.2962617338786,4.351138045421976E-7,-0.9120181128445378,-0.6899421896580852,0.3223088678652771,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102,2016-01-02,289.66936448004714,-0.021385839744311488,0.0012924901300116307,100327.9817327992,0.0,2.1952634047601875E7,298.7156702138611,0.0,-0.9775067369358116,-0.6306330173659574,0.31467950543269385,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160103,2016-01-03,288.4189624197138,-0.02295632525375721,0.001232151478109831,100203.08765261798,0.0,2.26416758665705E7,298.3822674057149,0.0,-0.885602886150313,-0.3768646942765284,0.30748666606710034,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160104,2016-01-04,289.6910988399224,-0.022277099675180857,0.0011757560560645675,100236.57441385121,0.0,2.234428614424811E7,298.6893250765401,0.0,-0.2865272530685151,-0.058814172432935415,0.3012916678662398,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160105,2016-01-05,291.2934534206086,-0.02051564267733404,0.0011227663580880372,100176.94720845637,0.0,2.191835940858277E7,299.11085683907703,1.704692635939864E-6,-0.20231350053745276,-0.05066852914067556,0.2959131916521662,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160106,2016-01-06,292.32278399370597,-0.020208825801592896,0.0010725008024878768,100135.7151841206,1.4901161193847656E-8,2.168309382041112E7,299.6463047818133,1.2874602361989673E-6,-0.08239729883923301,-0.2084634706139751,0.2910864577010813,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160107,2016-01-07,293.0726032965544,-0.01920166976274328,0.0010254111260530367,100226.47827051592,0.0,2.0885018148575556E7,299.95541676020224,8.612871056357108E-7,0.027504300882014145,-0.15992475157819247,0.28690593204528103,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160108,2016-01-08,293.3174366903414,-0.020019442674606834,9.809657958196126E-4,100185.58047384467,2.3550068132721722E-8,2.1043946311575912E7,300.4013542852117,3.964327283594912E-6,-0.21895864087524486,-0.11610128065903237,0.28316503179261054,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160109,2016-01-09,293.64175932354937,-0.018143966146487864,9.397183418316919E-4,100069.24815493195,3.7300728565082626E-7,2.0214812644789044E7,299.98367088754424,6.061243229035797E-5,0.060503508884440484,0.08887104494294548,0.28011621513508855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160110,2016-01-10,293.3742890707045,-0.018952721926684936,9.003892551679022E-4,100154.49227835941,1.6349094076531482E-7,2.051935434980166E7,299.97607449135944,2.75959810202927E-5,0.09184084902705016,0.04450043991131056,0.2778521505796733,"{""type"":""MultiPoint"",""coordinates"":[]}"
